"PELLID","Institution","City","State","Recipients","Awards"
"2621","New Jersey Institute of Technology","Newark","NJ","1298","2676461"
"2624","Ocean County College","Toms River","NJ","1068","1857604.1599999999"
"16934","Ocean County Vocational - Technical Schools","Toms River","NJ","66","101182"
"9994","Passaic County Community College","Paterson","NJ","2582","4020011.6200000001"
"2627","Princeton University","Princeton","NJ","330","704723.5"
"30775","Rabbi Jacob Joseph School","Edison","NJ","9","21775"
"8609","Rabbinical College of America","Morristown","NJ","57","168635.5"
"9344","Ramapo College of New Jersey","Mahwah","NJ","832","1683152.6499999999"
"7731","Raritan Valley Community College","North Branch","NJ","485","862436"
"9345","Richard Stockton College of New Jersey","Pomona","NJ","1425","2765434.98"
"2628","Rider University","Lawrenceville","NJ","892","1767779.5"
"2609","Rowan University","Glassboro","NJ","1776","3541001.3799999999"
"2629","Rutgers the State University of New Jersey Central Office","New Brunswick","NJ","9251","19783876.760000002"
"5461","Salem Community College","Carneys Point","NJ","270","466765"
"2632","Seton Hall University","South Orange","NJ","1169","2358445.5"
"14074","Somerset County Technical Institute","Bridgewater","NJ","23","38987"
"6429","ST FRANCIS MEDICAL CENTER","TRENTON","NJ","3","6025"
"2638","St Peters College","Jersey City","NJ","1108","2358651.0099999998"
"2639","Stevens Institute Of Technology","Hoboken","NJ","426","896534.5"
"25688","Sussex County Community College","Newton","NJ","429","665496"
"11989","Talmudical Academy of Central New Jersey","Adelphia","NJ","9","20024"
"11648","Thomas A Edison State College","Trenton","NJ","281","344204"
"2643","Union County College","Cranford","NJ","2712","5055734.79"
"6139","Union County Vocational Technical Schools","Scotch Plains","NJ","35","61258"
"13645","University of Medicine and Dentistry of New Jersey","Newark","NJ","43","83511"
"16857","Warren County Community College","Washington","NJ","159","257519"
"2625","WILLIAM PATERSON UNIVERSITY OF NEW JERSEY","Wayne","NJ","1741","3433751.54"
"4742","Albuquerque Technical Vocational Institute","Albuquerque","NM","4371","6134107.0700000003"
"4743","Clovis Community College","Clovis","NM","1463","2455226"
"2649","College of Santa Fe","Santa Fe","NM","518","658158"
"13935","College of the Southwest","Hobbs","NM","310","554384"
"16119","Crownpoint Institute of Technology","Crownpoint","NM","140","310129"
"2651","Eastern New Mexico University","Portales","NM","3029","6181242.6100000003"
"14152","Institute of American Indian and Alaska National Culture and Arts Dev","Santa Fe","NM","92","206003.5"
"30293","International Institute of Chinese Medicine","Santa Fe","NM","5","7013"
"9962","Luna Vocational Technical Institute","Las Vegas","NM","382","756025"
"32063","Mesa Technical College","Tucumcari","NM","190","338904"
"30993","Metropolitan College of Court Reporting","Albuquerque","NM","121","225848"
"2653","New Mexico Highlands University","Las Vegas","NM","1099","2257453.2799999998"
"2654","New Mexico Institute of Mining & Technology","Socorro","NM","367","748084"
"2655","New Mexico Junior College","Hobbs","NM","1006","1807331"
"2656","New Mexico Military Institute","Roswell","NM","136","263473"
"2657","New Mexico State University","Las Cruces","NM","7129","14918010.640000001"
"5286","Northern New Mexico Community College","El Rito","NM","817","1555838"
"2093","Saint John's College","Santa Fe","NM","118","228200"
"2660","San Juan College","Farmington","NM","1263","2469165.2999999998"
"16065","Santa Fe Community College","Santa Fe","NM","610","1094518"
"11185","Southwestern Indian Polytechnic Institute","Albuquerque","NM","485","696977"
"2663","University of New Mexico","Albuquerque","NM","7586","15695931.470000001"
"2664","Western New Mexico State University","Silver City","NM","1020","2243712"
"10362","Community College of Southern Nevada","North Las Vegas","NV","3786","8027327.4400000004"
"6977","Great Basin College","Elko","NV","337","505896.62"
"9192","Sierra Nevada College","Incline Village","NV","84","168206.22"
"10363","Truckee Meadows Community College","Reno","NV","1173","1656198.49"
"2569","University of Nevada - Las Vegas","Las Vegas","NV","2759","5284589.6900000004"
