"OPEID","Name","State","Type & Control","Recips","Awards"
"31254","ART INSTITUTE OF CALIFORNIA-HOLLYWOOD (THE)","CA","Proprietary 4 Year","1418","5148078"
"25956","ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE","CA","Proprietary 2 Year","106","456052"
"25535","ASSOCIATED TECHNICAL COLLEGE","CA","Proprietary 2 Year","328","1201452"
"9022","ASSOCIATED TECHNICAL COLLEGE","CA","Proprietary 2 Year","1176","4218556"
"37404","ATI COLLEGE","CA","Proprietary 2 Year","228","1155633"
"25198","AVANCE' BEAUTY COLLEGE","CA","Proprietary 2 Year","97","399583"
"1117","AZUSA PACIFIC UNIVERSITY","CA","Private 4 Year","1301","4784061"
"1118","BAKERSFIELD COLLEGE","CA","Public 2 Year","9165","27928689"
"30674","BALDWIN PARK ADULT SCHOOL","CA","Public 2 Year","228","717503"
"1119","BARSTOW COMMUNITY COLLEGE","CA","Public 2 Year","2593","7173845"
"7050","BAY VISTA COLLEGE OF BEAUTY","CA","Proprietary 2 Year","227","975570"
"39993","BEAUMONT ADULT SCHOOL","CA","Public 2 Year","71","314225"
"23434","BELLUS ACADEMY, THE ACADEMY OF BEAUTY AND SPA","CA","Proprietary 2 Year","249","1105450"
"22427","BERKELEY CITY COLLEGE","CA","Public 2 Year","1005","3282433"
"1121","BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD","CA","Private 4 Year","196","732067"
"32663","BETHESDA CHRISTIAN UNIVERSITY","CA","Private 4 Year","26","94358"
"41482","BEYOND 21ST CENTURY BEAUTY ACADEMY","CA","Proprietary 2 Year","19","58944"
"41330","BIOHEALTH COLLEGE","CA","Proprietary 2 Year","175","672867"
"1122","BIOLA UNIVERSITY","CA","Private 4 Year","1184","4349761"
"41372","BORNER'S BARBER COLLEGE","CA","Proprietary 2 Year","25","96593"
"21806","BRIDGES ACADEMY OF BEAUTY","CA","Proprietary 2 Year","13","48638"
"1123","BROOKS INSTITUTE","CA","Proprietary 4 Year","424","2161060"
"25434","BROWNSON TECHNICAL SCHOOL","CA","Proprietary 2 Year","186","641942"
"33993","BRYAN COLLEGE","CA","Proprietary 2 Year","615","2634044"
"7164","BRYAN COLLEGE","CA","Proprietary 2 Year","675","3024645"
"8073","BUTTE COLLEGE","CA","Public 2 Year","6566","21983739"
"1124","CABRILLO COLLEGE","CA","Public 2 Year","3718","11776888"
"41528","CALIFORNIA ACADEMY (THE) - A PAUL MITCHELL PARTNER SCHOOL","CA","Proprietary 2 Year","197","756760"
"1125","CALIFORNIA BAPTIST UNIVERSITY","CA","Private 4 Year","1321","5414679"
"20657","CALIFORNIA BEAUTY COLLEGE","CA","Proprietary 2 Year","34","153741"
"39745","CALIFORNIA CAREER COLLEGE","CA","Proprietary 2 Year","65","231243"
"25202","CALIFORNIA CAREER SCHOOL","CA","Proprietary 2 Year","10","23712"
"8844","CALIFORNIA CHRISTIAN COLLEGE","CA","Private 4 Year","20","76449"
