"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"41274","4127400","5982","DIGITAL MEDIA ARTS COLLEGE","FL","Proprietary","145","440692.69"
"1487","148700","1258","ECKERD COLLEGE","FL","Private 4 Year","517","1567559"
"1477","147700","1253","EDISON STATE COLLEGE","FL","Public 4 year","3725","9653324"
"1478","147800","5343","EDWARD WATERS COLLEGE","FL","Private 4 Year","660","2439679.54"
"1479","147900","71","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","FL","Private 4 Year","2049","5882396.8600000003"
"35704","3570400","5443","ENGLISH CENTER  (THE)","FL","Public 2 year","52","74916.529999999999"
"14560","2121800","3778","EVEREST INSTITUTE","FL","Proprietary","3507","8591896"
"30032","3003200","4538","EVEREST INSTITUTE","FL","Proprietary","1882","5213231"
"7735","149900","1264","EVEREST UNIVERSITY","FL","Proprietary","10575","23497136"
"1534","153400","1284","EVEREST UNIVERSITY","FL","Proprietary","13920","26513029"
"25998","2599800","4482","EVEREST UNIVERSITY","FL","Proprietary","4865","11770852"
"8146","814600","3050","EVEREST UNIVERSITY - POMPANO BEACH","FL","Proprietary","3393","8674665"
"31085","3108500","989","EVERGLADES UNIVERSITY","FL","Private 4 Year","664","2139578.6499999999"
"15111","2148200","3824","FASHION FOCUS HAIR ACADEMY","FL","Proprietary","50","127065.67"
"41320","4132000","6239","FASTTRAIN OF FORT LAUDERDALE","FL","Proprietary","75","151237"
"41322","4132200","6056","FASTTRAIN OF JACKSONVILLE","FL","Proprietary","90","192342.67999999999"
"41319","4131900","6033","FASTTRAIN OF MIAMI","FL","Proprietary","194","400859.92999999999"
"41321","4132100","6248","FASTTRAIN OF TAMPA","FL","Proprietary","92","165662"
"12544","1254400","3554","FIRST COAST TECHNICAL INSTITUTE","FL","Public 2 year","341","809470"
"7893","789300","538","FLAGLER COLLEGE","FL","Private 4 Year","679","2145952"
"38233","3823300","5804","FLORIDA ACADEMY OF HEALTH & BEAUTY","FL","Proprietary","64","164682"
"1480","148000","73","FLORIDA AGRICULTURAL & MECHANICAL UNIV","FL","Public 4 year","5814","20012310"
"1481","148100","1254","FLORIDA ATLANTIC UNIVERSITY","FL","Public 4 year","5786","17188383"
"36114","3611400","5075","FLORIDA BARBER ACADEMY","FL","Proprietary","198","519416"
"25862","2586200","4461","FLORIDA CAREER COLLEGE","FL","Proprietary","645","1170848.0800000001"
"16302","2305800","778","FLORIDA CAREER COLLEGE","FL","Proprietary","4596","10781524.43"
"30963","3096300","4704","FLORIDA CAREER INSTITUTE","FL","Proprietary","221","567480.18000000005"
"15192","2156700","3840","FLORIDA CHRISTIAN COLLEGE","FL","Private 4 Year","103","305270.40000000002"
