"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"2104900","COLLEGE OF LEGAL ARTS","PORTLAND","OR","Proprietary - 2 Year","712494","220"
"2285900","UNIVERSITY OF COSMETOLOGY ARTS&SCI","MCALLEN","TX","Proprietary - 2 Year","1678118","500"
"2098800","UNIVERSITY OF PHOENIX","PHOENIX","AZ","Proprietary - 4 Year","816221271","219913"
"2211000","SALON SUCCESS ACADEMY","SAN BERNARDINO","CA","Proprietary - 2 Year","149914","39"
"2300000","W F KAYNOR TECHNICAL HIGH SCHOOL","WATERBURY","CT","Public - 2 Year","84166","19"
"2550600","TALMUDICAL INST OF UPSTATE NY","ROCHESTER","NY","Private - 4 Year","18925","5"
"2506800","YESHIVAT MIKDASH MELECH","BROOKLYN","NY","Private - 4 Year","280831","63"
"2105300","EVERGREEN BEAUTY AND BARBER COLLEGE","BELLEVUE","WA","Proprietary - 2 Year","404073","120"
"2266400","CENTRAL CHRISTIAN CLG OF THE BIBLE","MOBERLY","MO","Private - 4 Year","870813","221"
"2099700","ROSS MEDICAL EDUCATION CENTER","FLINT","MI","Proprietary - 2 Year","5803108","1510"
"576304","CENTRAL GEORGIA TECHNICAL COLLEGE -","WARNER ROBINS","GA","Public - 2 Year","6870408","2758"
"2105900","HAIR DESIGN INSTITUTE AT FIFTH AVE","BROOKLYN","NY","Proprietary - 2 Year","1415426","411"
"150603","MIAMI DADE COLLEGE - WOLFSON CAMPUS","MIAMI","FL","Public - 4 Year","25599436","6982"
"150604","MIAMI DADE COLLEGE - MEDICAL CAMPUS","MIAMI","FL","Public - 4 Year","7001672","2100"
"2106600","AMERICAN INSTITUTE","WEST HARTFORD","CT","Proprietary - 2 Year","2989299","1191"
"2110900","CATTARAUGUS/ALLEGANY BOCES","OLEAN","NY","Public - 2 Year","241893","71"
"2117500","NAROPA UNIVERSITY","BOULDER","CO","Private - 4 Year","884558","219"
"2107300","PENNSYLVANIA ACADEMY OF FINE ARTS","PHILADELPHIA","PA","Private - 4 Year","366913","85"
"2172100","HAMILTON-FULTON-MONTGOMERY BOCES","JOHNSTOWN","NY","Public - 2 Year","92419","42"
"2255000","KNOXVILLE INSTITUTE OF HAIR DESIGN","KNOXVILLE","TN","Proprietary - 2 Year","188650","55"
"2136600","WISCONSIN LUTHERAN COLLEGE","MILWAUKEE","WI","Private - 4 Year","1310690","354"
"1465900","OGLALA LAKOTA COLLEGE","KYLE","SD","Public - 4 Year","4115171","1226"
"2106800","BRAMSON ORT COLLEGE","FOREST HILLS","NY","Private - 2 Year","3932449","966"
"2106400","O'MORE COLLEGE OF DESIGN","FRANKLIN","TN","Private - 4 Year","281916","75"
"2110700","CLEVELAND INST OF DENTAL-MED ASST","CLEVELAND","OH","Proprietary - 2 Year","2110091","565"
